epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.101,1.63811,3.92084,1.46306,0.00242,1,0.20608,0.1754,1.32767,3.57931,1.3816,0.0001,0.0001,0.0001
2,62.2028,1.44805,3.11996,1.44308,0.00242,1,0.83827,0.62917,1.06614,2.97839,1.05171,0.000217822,0.000217822,0.000217822
3,98.9801,1.12607,3.88181,1.05525,0.00242,1,0.74592,0.57386,0.93985,2.9606,0.96271,0.000333268,0.000333268,0.000333268
4,142.342,1.23275,2.79858,1.20939,0.00242,1,0.88123,0.62281,0.99386,3.01188,0.99247,0.000446338,0.000446338,0.000446338
5,174.072,1.30819,2.4298,1.18747,0.00242,1,0.83868,0.63444,1.12908,2.98079,1.13784,0.000557032,0.000557032,0.000557032
6,200.579,1.20793,2.17695,1.17343,0.00242,1,0.56026,0.41002,1.43333,3.4424,1.3713,0.00066535,0.00066535,0.00066535
7,225.169,1.22955,2.22317,1.13782,0.00707,0.75,0.54021,0.40998,1.62889,3.46598,1.45422,0.000771292,0.000771292,0.000771292
8,249.326,1.09599,3.01516,0.98241,1,0.61413,0.74764,0.57503,1.33586,3.1343,1.22469,0.000874858,0.000874858,0.000874858
9,273.36,1.34471,2.371,1.11339,0.96802,0.75,0.74571,0.54156,1.47503,2.7787,1.38775,0.000976048,0.000976048,0.000976048
10,297.213,1.13421,1.94962,1.11492,0.8536,0.73141,0.70824,0.50545,1.44568,2.8354,1.41858,0.00107486,0.00107486,0.00107486
11,320.468,1.13079,1.76528,1.14771,0.85573,0.74261,0.70239,0.49812,1.26894,2.64018,1.31161,0.0011713,0.0011713,0.0011713
12,344.526,1.14185,1.89956,1.18756,1,0.67846,0.81087,0.54726,1.23128,2.47707,1.27334,0.00126536,0.00126536,0.00126536
13,370.502,1.14255,1.88357,1.21687,1,0.48711,0.64802,0.45997,1.13755,2.47311,1.27028,0.00135705,0.00135705,0.00135705
14,403.155,1.21101,1.76179,1.2273,0.95517,0.375,0.4887,0.39142,1.29068,2.62211,1.66086,0.00144636,0.00144636,0.00144636
15,430.454,1.08613,2.07963,1.2215,0.97866,0.375,0.53352,0.41369,1.24348,2.39956,1.72133,0.00153329,0.00153329,0.00153329
16,459.243,1.05627,1.66871,1.15993,0.9098,0.375,0.52242,0.37551,1.34596,2.70665,1.50831,0.00161785,0.00161785,0.00161785
17,492.194,1.187,1.73007,1.22982,0.57237,0.5,0.43718,0.33836,1.40906,2.86912,1.49305,0.0016832,0.0016832,0.0016832
18,531.226,1.31207,1.81701,1.29036,0.13829,0.5,0.11888,0.07891,1.56355,3.49372,1.58038,0.0016634,0.0016634,0.0016634
19,566.069,1.06592,1.80374,1.18467,0.06591,0.125,0.02641,0.01691,1.56284,5.00956,1.5636,0.0016436,0.0016436,0.0016436
20,605.69,1.20283,1.66849,1.19924,0.00355,0.125,0.0047,0.00209,2.04624,8.7723,2.23496,0.0016238,0.0016238,0.0016238
21,645.082,1.17953,1.60419,1.25651,0.01674,0.125,0.02683,0.01042,1.78298,6.26462,2.15781,0.001604,0.001604,0.001604
22,678.302,1.16208,1.40884,1.26565,0.41535,0.375,0.33756,0.26905,1.77987,3.08745,2.19188,0.0015842,0.0015842,0.0015842
23,715.884,1.30694,1.51527,1.3166,0.97506,0.625,0.70601,0.58498,1.59364,2.02621,2.11311,0.0015644,0.0015644,0.0015644
24,747.161,1.16847,1.53097,1.21152,0.98913,0.75,0.75186,0.55606,1.31328,1.68609,1.65333,0.0015446,0.0015446,0.0015446
25,775.054,1.02097,1.25718,1.09245,1,0.61032,0.71129,0.55156,1.0527,1.69287,1.37009,0.0015248,0.0015248,0.0015248
26,812.363,1.2191,1.38384,1.26684,0.69584,0.625,0.59742,0.47345,1.25901,2.01262,1.44747,0.001505,0.001505,0.001505
27,842.261,1.14432,1.28464,1.19174,0.98475,0.625,0.75183,0.53895,1.26188,1.63128,1.56306,0.0014852,0.0014852,0.0014852
28,878.322,0.99458,1.20811,1.11189,0.99202,0.875,0.971,0.70512,1.09295,1.21422,1.67655,0.0014654,0.0014654,0.0014654
29,908.726,0.9261,1.53738,1.02063,0.872,1,0.96722,0.68751,1.17688,1.32131,1.5735,0.0014456,0.0014456,0.0014456
30,948.315,1.05903,1.15553,1.23798,0.74403,0.75,0.74994,0.51585,1.39727,1.64895,1.69224,0.0014258,0.0014258,0.0014258
31,979.864,1.08043,1.27974,1.08244,0.75823,0.875,0.87783,0.53873,1.42725,1.50038,1.72949,0.001406,0.001406,0.001406
32,1016.84,1.38178,1.68662,1.34183,1,0.73093,0.86697,0.56983,1.32453,1.64782,1.47958,0.0013862,0.0013862,0.0013862
33,1050.9,0.9242,1.12179,1.0899,0.96244,0.625,0.75846,0.49595,1.33549,2.01413,1.51029,0.0013664,0.0013664,0.0013664
34,1082.71,0.79791,1.43414,0.92371,1,0.98755,0.995,0.70393,1.11292,1.15457,1.46254,0.0013466,0.0013466,0.0013466
35,1110.19,0.95696,1.09761,1.09076,0.9982,0.875,0.955,0.7346,1.10876,1.20005,1.44821,0.0013268,0.0013268,0.0013268
36,1138.52,0.82396,1.31132,0.93948,1,0.87233,0.88629,0.68068,1.19725,1.36641,1.45385,0.001307,0.001307,0.001307
37,1165.01,1.15332,1.3721,1.15661,0.99687,0.875,0.88201,0.67427,1.18764,1.33066,1.51734,0.0012872,0.0012872,0.0012872
38,1201.8,1.03906,0.98239,1.11459,1,0.86273,0.88162,0.61975,1.30074,1.18334,1.64696,0.0012674,0.0012674,0.0012674
39,1243.91,0.95741,1.03856,1.10305,0.99525,0.875,0.87864,0.5971,1.47967,1.33238,1.77446,0.0012476,0.0012476,0.0012476
40,1271.16,0.84999,0.84496,1.01705,1,0.87373,0.8786,0.63686,1.1446,1.22077,1.3452,0.0012278,0.0012278,0.0012278
41,1301.33,1.05403,1.1027,1.17789,0.86617,0.875,0.86174,0.55851,1.10176,1.31507,1.35433,0.001208,0.001208,0.001208
42,1335.9,0.91843,0.91813,1.11397,0.9982,0.875,0.939,0.57777,1.15653,1.06085,1.41878,0.0011882,0.0011882,0.0011882
43,1368.84,1.00391,1.02841,1.13399,0.99438,0.875,0.955,0.57282,1.22077,1.01208,1.50707,0.0011684,0.0011684,0.0011684
44,1423.42,0.87212,0.90436,1.0765,0.99995,0.875,0.91864,0.58632,1.36202,1.20475,1.64266,0.0011486,0.0011486,0.0011486
45,1449.41,0.96107,0.81789,1.00504,1,0.87035,0.93147,0.64167,1.35679,1.10137,1.68167,0.0011288,0.0011288,0.0011288
46,1476.5,0.95363,0.89152,1.07814,0.99666,0.875,0.96227,0.69084,1.09873,0.93663,1.52236,0.001109,0.001109,0.001109
47,1502.7,0.93854,0.85585,1.05337,0.99519,0.875,0.96227,0.66799,1.23643,0.92352,1.63563,0.0010892,0.0010892,0.0010892
48,1526.91,0.79097,0.80259,0.99338,0.99832,0.875,0.94885,0.64864,1.29178,1.05182,1.60422,0.0010694,0.0010694,0.0010694
49,1551.61,0.95695,0.83583,1.11681,1,0.86335,0.94885,0.71289,1.11287,1.00018,1.48303,0.0010496,0.0010496,0.0010496
50,1577.43,0.8269,1.03435,0.94383,0.98623,1,0.995,0.71945,1.10501,0.83663,1.40564,0.0010298,0.0010298,0.0010298
51,1606.59,0.91947,0.89504,1.06568,0.99041,1,0.995,0.71633,1.17413,0.86405,1.48802,0.00101,0.00101,0.00101
52,1631.23,0.81368,0.88684,1.08129,1,0.85765,0.955,0.64325,1.32871,1.01599,1.66198,0.0009902,0.0009902,0.0009902
53,1656.84,1.00828,0.75146,1.08169,1,0.87377,0.923,0.67193,1.19948,0.98907,1.52254,0.0009704,0.0009704,0.0009704
54,1679.95,0.89744,0.83175,1.06719,1,0.87199,0.87823,0.6893,1.11777,0.9376,1.51216,0.0009506,0.0009506,0.0009506
55,1703.91,0.8674,0.88293,1.07639,0.9991,0.875,0.87797,0.69967,1.23704,0.94854,1.64445,0.0009308,0.0009308,0.0009308
56,1728.66,0.79357,0.69627,0.98833,0.99154,0.875,0.88033,0.65508,1.39419,0.82623,1.90403,0.000911,0.000911,0.000911
57,1757.08,0.742,1.0368,1.00182,0.98452,0.875,0.89786,0.66848,1.25146,0.90217,1.65914,0.0008912,0.0008912,0.0008912
58,1783.53,0.87906,0.8826,1.08485,0.88654,0.97887,0.98167,0.67866,1.08857,0.75028,1.45139,0.0008714,0.0008714,0.0008714
